"id","name","code","realname","adressip","isimpetiq","port"
"hubi.hubi_printer_2_e8aa2b4e","GC420t","GC","Zebra_GC420t","192.168.85.115","True","631"
"hubi.hubi_printer_1_c4cce09a","GK420t","GK","GK420t","192.168.85.115","True","631"
